session_id	ts	article	choice	query	question
235a584366762139	2017-08-04T00:35:57Z	Search engine optimization	timeout	search engine	If you searched for '...', would this article be relevant?
5aa6b4344f7ff6b9	2017-08-04T00:44:00Z	Flowers in the Attic	no	how do flowers bloom?	If you searched for '...', would this article be relevant?
8e8f721e48673f9f	2017-08-04T00:46:59Z	Block Buster!	timeout	block buster	If you searched for '...', would this article be a good result?
18fbcc34583e026a	2017-08-04T00:47:10Z	Flowers in the Attic (1987 film)	no	how do flowers bloom?	Would you click on this page when searching for '...'?
f82df583bb2c166a	2017-08-04T00:48:29Z	Audio search engine	timeout	search engine	If someone searched for '...', would they want to read this article?
35904c4ee1ac36e3	2017-08-04T00:49:24Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
df1a7cece4edd1b5	2017-08-04T00:51:41Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
24c240996bc4ba18	2017-08-04T00:52:51Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
a97ff80d3a1fa1bd	2017-08-04T00:53:12Z	Blockbuster	timeout	block buster	If you searched for '...', would this article be relevant?
9a4d5e4abb06b174	2017-08-04T00:53:31Z	Tinker, Tailor	timeout	sailor soldier tinker spy	Would you click on this page when searching for '...'?
1e6b4fe747251158	2017-08-04T00:53:32Z	Audio search engine	timeout	search engine	If you searched for '...', would this article be a good result?
23f40ce3c33d0e96	2017-08-04T00:53:34Z	V for Vendetta	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
1698e8e049c7fd07	2017-08-04T00:54:08Z	Blockbuster	timeout	block buster	If you searched for '...', would this article be a good result?
e99f2dc08169590e	2017-08-04T00:55:14Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
50e8d50fb73e3183	2017-08-04T00:56:33Z	Item 47	timeout	10 items or fewer	If you searched for '...', would this article be relevant?
511b8a05ebcf4232	2017-08-04T00:56:44Z	Barney & Friends	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
3d8ee4b509181698	2017-08-04T00:56:59Z	List of search engines	timeout	search engine	If you searched for '...', would this article be a good result?
ca57cd503dc8eedd	2017-08-04T00:59:54Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
bb5e1cba1c0b4d42	2017-08-04T01:00:09Z	Ian Bannen	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
2e9d8b685c74058f	2017-08-04T01:00:36Z	The Kids from Room 402	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
ced82261e2c800c1	2017-08-04T01:03:20Z	Buster Keaton	no	block buster	If someone searched for '...', would they want to read this article?
4d9f34cf0b0e5439	2017-08-04T01:04:17Z	Tinker Tailor Soldier Spy	yes	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
b966a42e54b3d877	2017-08-04T01:04:28Z	Tinker Tailor Soldier Spy	yes	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
5b79d3d641a10d3e	2017-08-04T01:05:21Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
185d1cc8fac6a56c	2017-08-04T01:06:44Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
d497d1194fcbd721	2017-08-04T01:10:24Z	Flowers in the Attic	no	how do flowers bloom?	If someone searched for '...', would they want to read this article?
e52efac4cd670d90	2017-08-04T01:11:17Z	Diss (music)	no	yesterday beetles	If you searched for '...', would this article be relevant?
34a4ef43fabad470	2017-08-04T01:11:43Z	The White Stripes	no	star and stripes	If someone searched for '...', would they want to read this article?
b27366525ef3f9cd	2017-08-04T01:12:04Z	The White Stripes	no	star and stripes	If someone searched for '...', would they want to read this article?
2b7728ddf07f54a7	2017-08-04T01:12:14Z	Tinker, Tailor	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
acdcfed3c3dae093	2017-08-04T01:12:29Z	Fewer vs. less	timeout	10 items or fewer	If someone searched for '...', would they want to read this article?
be9eab08f0975cf5	2017-08-04T01:13:51Z	Buster Keaton	timeout	block buster	Would you click on this page when searching for '...'?
b5bca4f928102e88	2017-08-04T01:18:59Z	V for Vendetta (film)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
521f00e51f212765	2017-08-04T01:19:15Z	IQ classification	no	what is a genius iq?	If you searched for '...', would this article be a good result?
6c743c1dd59ab549	2017-08-04T01:20:24Z	Genius	timeout	what is a genius iq?	If you searched for '...', would this article be relevant?
c11cd01480dd8a0f	2017-08-04T01:21:12Z	Web search engine	timeout	search engine	Would you click on this page when searching for '...'?
fd51d738128c2058	2017-08-04T01:23:05Z	Genius	no	what is a genius iq?	If someone searched for '...', would they want to read this article?
2fd40a4248b7bd2e	2017-08-04T01:25:45Z	Blockbuster	timeout	block buster	If someone searched for '...', would they want to read this article?
73b8852263d2b7d4	2017-08-04T01:26:06Z	V for Vendetta	yes	who is v for vendetta?	If you searched for '...', would this article be a good result?
9e0071979eed8257	2017-08-04T01:26:18Z	Buster Keaton	timeout	block buster	Would you click on this page when searching for '...'?
a6df47776f7a76cb	2017-08-04T01:26:41Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
906df3ec1ac57024	2017-08-04T01:28:28Z	IQ classification	yes	what is a genius iq?	If you searched for '...', would this article be relevant?
eda5d96439a6dc8d	2017-08-04T01:28:39Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
ff9dbcf15845aea9	2017-08-04T01:29:49Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
6a7889c12ee062dc	2017-08-04T01:30:06Z	10-foot user interface	no	10 items or fewer	If you searched for '...', would this article be relevant?
242b4a47e134ef05	2017-08-04T01:30:58Z	V for Vendetta (film)	no	who is v for vendetta?	If you searched for '...', would this article be a good result?
ca65dea1be80bf27	2017-08-04T01:31:27Z	Vendetta Pro Wrestling	no	who is v for vendetta?	If someone searched for '...', would they want to read this article?
946c64afe62fe4f2	2017-08-04T01:31:38Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
4006d09fc1cf1b8b	2017-08-04T01:31:56Z	Vendetta Pro Wrestling	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
80a871ccbe285cb7	2017-08-04T01:33:11Z	Item 47	timeout	10 items or fewer	Would you click on this page when searching for '...'?
5f570f39de51b913	2017-08-04T01:33:37Z	Search engine optimization	timeout	search engine	Would you click on this page when searching for '...'?
a8b66ae8d3384292	2017-08-04T01:34:15Z	V for Vendetta	no	who is v for vendetta?	If someone searched for '...', would they want to read this article?
ef9c231dd74d0ef5	2017-08-04T01:34:20Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
b53693bcf2033593	2017-08-04T01:34:22Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
249a4ff19fd85cfc	2017-08-04T01:35:28Z	How Do You Sleep? (John Lennon song)	yes	yesterday beetles	If you searched for '...', would this article be relevant?
2d4e92b15ebe8d0b	2017-08-04T01:35:37Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
c359b76952c406b3	2017-08-04T01:35:39Z	Stripes (film)	timeout	star and stripes	If you searched for '...', would this article be a good result?
24369d9fd0e19b9a	2017-08-04T01:36:09Z	Diss (music)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
cccb2ae7b165617a	2017-08-04T01:36:25Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
6f2b552f76baa85f	2017-08-04T01:36:28Z	Barney & Friends	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
a3a16c9ad782fe6b	2017-08-04T01:36:29Z	Barney & Friends	no	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
baaea80223d612a0	2017-08-04T01:37:07Z	Super Why!	no	why is a baby goat a kid?	Would you click on this page when searching for '...'?
0a67c09cfcd4cdc3	2017-08-04T01:37:56Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
91c1f877c79fa547	2017-08-04T01:38:47Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
baaea80223d612a0	2017-08-04T01:39:18Z	Super Why!	no	why is a baby goat a kid?	Would you click on this page when searching for '...'?
70fae09425eeef9f	2017-08-04T01:41:15Z	Flowers in the Attic (1987 film)	no	how do flowers bloom?	If someone searched for '...', would they want to read this article?
6c61188158c0af20	2017-08-04T01:42:18Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
4becef35cfb25aa1	2017-08-04T01:43:44Z	V (comics)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
902c05a58ec15856	2017-08-04T01:44:17Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
ecf77a6d040f99a8	2017-08-04T01:46:23Z	Diss (music)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
a3cab0f198e00310	2017-08-04T01:46:44Z	High IQ society	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
e53aca78e0d79d45	2017-08-04T01:47:03Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
f353054cd5fccb1b	2017-08-04T01:47:45Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
f0bdd2201aaf545e	2017-08-04T01:47:49Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
0713d207c1e150da	2017-08-04T01:48:11Z	Private language argument	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
49b762f5a176c27f	2017-08-04T01:51:45Z	Super Why!	no	why is a baby goat a kid?	Would you click on this page when searching for '...'?
82bd7b4bd44a4025	2017-08-04T01:51:48Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
7a45f8a5e2275742	2017-08-04T01:52:48Z	IQ classification	timeout	what is a genius iq?	If you searched for '...', would this article be relevant?
a3a16c9ad782fe6b	2017-08-04T01:53:02Z	Barney & Friends	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
7c0ab001c1ef6414	2017-08-04T01:53:08Z	Super Why!	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
31851796396828f2	2017-08-04T01:54:14Z	Private language argument	timeout	yesterday beetles	Would you click on this page when searching for '...'?
e15a5f023ac09570	2017-08-04T01:55:02Z	IQ classification	yes	what is a genius iq?	If someone searched for '...', would they want to read this article?
3735558a55300d5d	2017-08-04T01:55:31Z	Flower	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
745a0f363c6bf9ec	2017-08-04T01:56:01Z	10-foot user interface	timeout	10 items or fewer	Would you click on this page when searching for '...'?
31bfc50f6b5906b1	2017-08-04T01:56:06Z	Flower	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
547a2c8e5f999a0d	2017-08-04T01:57:33Z	Ian Bannen	timeout	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
4658261a8724f535	2017-08-04T01:58:11Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
2a23c169a3c0b44d	2017-08-04T02:01:19Z	Social IQ score of bacteria	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
825592803a1e5d96	2017-08-04T02:01:22Z	Goat	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
d50a300cbe32b359	2017-08-04T02:01:23Z	V for Vendetta	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
537ce132ae0dbd4d	2017-08-04T02:03:24Z	Ian Bannen	no	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
2e33f14da42eaafa	2017-08-04T02:06:12Z	Barney & Friends	timeout	why is a baby goat a kid?	Would you click on this page when searching for '...'?
50483bd6397ba379	2017-08-04T02:07:12Z	Web search engine	timeout	search engine	If you searched for '...', would this article be a good result?
4658261a8724f535	2017-08-04T02:07:48Z	Flowers in the Attic (1987 film)	no	how do flowers bloom?	Would you click on this page when searching for '...'?
528e32eee43616f6	2017-08-04T02:08:25Z	Super Why!	no	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
4658261a8724f535	2017-08-04T02:08:35Z	Flowers in the Attic	no	how do flowers bloom?	If you searched for '...', would this article be relevant?
d74d4b8e44b612ad	2017-08-04T02:08:52Z	The White Stripes	no	star and stripes	If you searched for '...', would this article be a good result?
c85c196b121d357f	2017-08-04T02:13:01Z	Stripes (film)	timeout	star and stripes	Would you click on this page when searching for '...'?
e637e5591aed0ae7	2017-08-04T02:13:35Z	Private language argument	dismiss	yesterday beetles	If you searched for '...', would this article be a good result?
319099aac6e6e8ba	2017-08-04T02:14:35Z	The Stars and Stripes Forever	dismiss	star and stripes	If you searched for '...', would this article be relevant?
ec9ef425f431ba45	2017-08-04T02:16:29Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
3fb18b3d152cf943	2017-08-04T02:18:41Z	Barney & Friends	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
3fb18b3d152cf943	2017-08-04T02:19:42Z	Barney & Friends	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
dcc92f9ea3877ca5	2017-08-04T02:20:28Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be relevant?
1a2931bb263dc3b8	2017-08-04T02:20:47Z	V (comics)	no	who is v for vendetta?	If someone searched for '...', would they want to read this article?
f6ec69241655ccbf	2017-08-04T02:22:36Z	Blockbuster	no	block buster	If someone searched for '...', would they want to read this article?
7ae63e60a790c90a	2017-08-04T02:22:40Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
1db4aa62cbc057ad	2017-08-04T02:22:46Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
eecde49537287d6b	2017-08-04T02:25:27Z	Item-item collaborative filtering	no	10 items or fewer	If you searched for '...', would this article be a good result?
90f4b4c65faf8a02	2017-08-04T02:27:02Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
412c1aa6508d7347	2017-08-04T02:27:34Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
de8dad8ab8ee0158	2017-08-04T02:27:38Z	High IQ society	no	what is a genius iq?	Would you click on this page when searching for '...'?
bed3524d15f93d66	2017-08-04T02:28:54Z	Diss (music)	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
ee572b65b3a8ef97	2017-08-04T02:29:18Z	Super Why!	no	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
90f4b4c65faf8a02	2017-08-04T02:29:56Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
8a196b8a5c191d40	2017-08-04T02:31:06Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
fb3c0714925a1642	2017-08-04T02:31:53Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
a83108cd364b6adc	2017-08-04T02:33:07Z	Buster Keaton	timeout	block buster	Would you click on this page when searching for '...'?
15a07d60d62e93d6	2017-08-04T02:33:09Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
29ade9f23d9f6165	2017-08-04T02:35:20Z	Buster Keaton	no	block buster	If you searched for '...', would this article be relevant?
06dc6bab8998332f	2017-08-04T02:35:25Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
b595edb950ba5ada	2017-08-04T02:35:44Z	List of fictional double agents	timeout	sailor soldier tinker spy	Would you click on this page when searching for '...'?
bb5870837f9eaca5	2017-08-04T02:36:00Z	Barney & Friends	no	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
b1c4e4d540670914	2017-08-04T02:36:01Z	V (comics)	yes	who is v for vendetta?	If someone searched for '...', would they want to read this article?
28cae82c19344600	2017-08-04T02:37:52Z	Buster Keaton	timeout	block buster	If someone searched for '...', would they want to read this article?
d7305092f4455a19	2017-08-04T02:38:43Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
1d23a799ce22d3c2	2017-08-04T02:38:55Z	Genius (website)	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
e15c7621581f9d8a	2017-08-04T02:39:01Z	Flower	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
c0611ed783c5fd8c	2017-08-04T02:39:05Z	The Collected Stories of Philip K. Dick	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
95e9f53c56953dae	2017-08-04T02:40:39Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
987ef6e9507e4dc3	2017-08-04T02:42:36Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
367edbd21b4580ae	2017-08-04T02:44:52Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
0d11ffdfc34c79a1	2017-08-04T02:46:26Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
1044a4d14e635f00	2017-08-04T02:47:16Z	Barney & Friends	no	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
9311d43d3663e566	2017-08-04T02:48:14Z	Barney & Friends	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
85cd2fc792abb71a	2017-08-04T02:48:22Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
f01a1864f92959ba	2017-08-04T02:49:39Z	Ian Bannen	timeout	sailor soldier tinker spy	Would you click on this page when searching for '...'?
8c877a347732ea14	2017-08-04T02:49:44Z	Private language argument	timeout	yesterday beetles	Would you click on this page when searching for '...'?
809b296e9bb4526e	2017-08-04T02:49:51Z	V for Vendetta	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
6da16c64b4852493	2017-08-04T02:50:20Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be relevant?
9fad2f8056132bbf	2017-08-04T02:52:32Z	Ian Bannen	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
469aa1c62b96695e	2017-08-04T02:55:00Z	Search engine optimization	timeout	search engine	If someone searched for '...', would they want to read this article?
95e87c06e486ba5e	2017-08-04T02:57:16Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
18f8f9f507f789c2	2017-08-04T02:57:32Z	Tinker, Tailor	timeout	sailor soldier tinker spy	Would you click on this page when searching for '...'?
a5aa6d96073e7141	2017-08-04T02:59:26Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
f1f551a88015516a	2017-08-04T02:59:37Z	High IQ society	timeout	what is a genius iq?	If you searched for '...', would this article be a good result?
72f1f41bbffbe968	2017-08-04T03:01:45Z	Diss (music)	no	yesterday beetles	Would you click on this page when searching for '...'?
a20c9de8bff5791d	2017-08-04T03:03:47Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
23edab9a0a54789e	2017-08-04T03:04:25Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
a7996bf63876994f	2017-08-04T03:06:14Z	Flowers in the Attic	no	how do flowers bloom?	If you searched for '...', would this article be a good result?
de36c078daefda23	2017-08-04T03:06:24Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
b52662b1ffb26771	2017-08-04T03:06:38Z	Genius	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
1a16b1555d0aa822	2017-08-04T03:06:48Z	Search engine optimization	timeout	search engine	If you searched for '...', would this article be relevant?
e6036ee79764c265	2017-08-04T03:07:34Z	Barney & Friends	no	why is a baby goat a kid?	Would you click on this page when searching for '...'?
5018f26b9fc70d0c	2017-08-04T03:07:38Z	Fewer vs. less	timeout	10 items or fewer	If someone searched for '...', would they want to read this article?
41a88fadea98f3b7	2017-08-04T03:12:16Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
6179984b21ba5cc4	2017-08-04T03:12:56Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
3097dc7a091b4a75	2017-08-04T03:13:17Z	IQ classification	yes	what is a genius iq?	If someone searched for '...', would they want to read this article?
0126aa4787742e89	2017-08-04T03:13:31Z	Web search engine	timeout	search engine	If you searched for '...', would this article be relevant?
efcc5f2a73fc79cd	2017-08-04T03:13:51Z	Flower	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
a16d0a7c87ce228e	2017-08-04T03:14:13Z	Goat	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
7748c9499c95d0eb	2017-08-04T03:15:24Z	Genius (website)	no	what is a genius iq?	If someone searched for '...', would they want to read this article?
85a327c0ed8a416d	2017-08-04T03:15:31Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be a good result?
d540f4833445d30a	2017-08-04T03:16:08Z	Flowers in the Attic	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
34eb07df03b96403	2017-08-04T03:17:43Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
b2605f6625ace998	2017-08-04T03:18:59Z	Item 47	timeout	10 items or fewer	If you searched for '...', would this article be a good result?
75c3a69790087362	2017-08-04T03:19:23Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
7ff9aac6cbbd0d5c	2017-08-04T03:20:43Z	Genius (website)	no	what is a genius iq?	If you searched for '...', would this article be a good result?
fd6c77d38ac0fae4	2017-08-04T03:21:22Z	Flowers in the Attic	no	how do flowers bloom?	Would you click on this page when searching for '...'?
2c0c3d2db7cbf81d	2017-08-04T03:21:51Z	Item-item collaborative filtering	no	10 items or fewer	If you searched for '...', would this article be relevant?
e5f8cd104b4bbd8b	2017-08-04T03:23:22Z	V (comics)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
9526f0365d58a790	2017-08-04T03:26:58Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
a212600039f57736	2017-08-04T03:29:01Z	The White Stripes	timeout	star and stripes	If you searched for '...', would this article be relevant?
34e91473764f3739	2017-08-04T03:29:27Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
4713818b7ba2dfae	2017-08-04T03:29:27Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
d0848dc12d3c5ed4	2017-08-04T03:30:18Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
e0644899c5e26667	2017-08-04T03:32:02Z	The Stars and Stripes Forever	timeout	star and stripes	If someone searched for '...', would they want to read this article?
