session_id	ts	article	choice	query	question
f313a3664fcf2928	2017-08-11T00:42:37Z	V (comics)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
5ffc5de8fb06ab4d	2017-08-11T00:44:22Z	Private language argument	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
bae5558404b74125	2017-08-11T00:44:31Z	V (comics)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
fc2d8b8aafc2650a	2017-08-11T00:44:39Z	Barney & Friends	no	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
1d0f2e19da83317a	2017-08-11T00:45:01Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
8c31399b601f811e	2017-08-11T00:45:58Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
2e4d6a952fb31e4d	2017-08-11T00:48:10Z	Fewer vs. less	timeout	10 items or fewer	If you searched for '...', would this article be relevant?
6d4fb59e89999490	2017-08-11T00:51:56Z	Fewer vs. less	timeout	10 items or fewer	If you searched for '...', would this article be a good result?
feaacf9535c7a68a	2017-08-11T00:53:20Z	Genius	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
5e9a002d3a02de81	2017-08-11T00:53:35Z	IQ classification	yes	what is a genius iq?	If you searched for '...', would this article be relevant?
5a36ad79219170d3	2017-08-11T00:53:46Z	Barney & Friends	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
e8ecbf59d00ae53e	2017-08-11T00:56:24Z	Fewer vs. less	timeout	10 items or fewer	If someone searched for '...', would they want to read this article?
77cf3ceb9f409fbf	2017-08-11T01:00:32Z	Genius (website)	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
8d943d21116b0f34	2017-08-11T01:01:02Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
6c7124e258fc8bb0	2017-08-11T01:08:20Z	Stripes (film)	unsure	star and stripes	If you searched for '...', would this article be relevant?
a4ff6547379b084b	2017-08-11T01:13:16Z	List of search engines	timeout	search engine	If someone searched for '...', would they want to read this article?
8d4fd132800f656c	2017-08-11T01:14:41Z	The Stars and Stripes Forever	timeout	star and stripes	If you searched for '...', would this article be relevant?
ac5f684c6e78a232	2017-08-11T01:14:57Z	Private language argument	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
3d3680cdf8484aad	2017-08-11T01:16:01Z	IQ classification	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
e8c773d4333911b7	2017-08-11T01:28:46Z	Stripes (film)	timeout	star and stripes	Would you click on this page when searching for '...'?
0b128e8e2137b013	2017-08-11T01:31:23Z	V (comics)	unsure	who is v for vendetta?	If you searched for '...', would this article be a good result?
d3638729575c9c00	2017-08-11T01:33:12Z	Goat	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
9e2c2643fceb0fcd	2017-08-11T01:33:32Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
ff892bdb7d7c6983	2017-08-11T01:35:43Z	V for Vendetta	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
e5a3df4ef6584869	2017-08-11T01:37:17Z	Item-item collaborative filtering	timeout	10 items or fewer	If someone searched for '...', would they want to read this article?
98bd59cacd7d4446	2017-08-11T01:38:29Z	Buster Keaton	timeout	block buster	If someone searched for '...', would they want to read this article?
2eac2437f354d19d	2017-08-11T01:38:37Z	Genius (website)	unsure	what is a genius iq?	Would you click on this page when searching for '...'?
070b186e546c6e59	2017-08-11T01:39:41Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
6eb6edf3b7a7351d	2017-08-11T01:44:11Z	List of V for Vendetta characters	yes	who is v for vendetta?	If you searched for '...', would this article be a good result?
4e66ffec402d6d02	2017-08-11T01:44:57Z	Search engine optimization	timeout	search engine	Would you click on this page when searching for '...'?
650edd75d49cb2ce	2017-08-11T01:48:07Z	Tinker, Tailor	timeout	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
4c2aad0a1efd06e2	2017-08-11T01:49:06Z	Goat	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
d21e9df1a4d0dcfc	2017-08-11T01:51:56Z	The White Stripes	timeout	star and stripes	Would you click on this page when searching for '...'?
1be31b49f8aa57d5	2017-08-11T01:51:57Z	The White Stripes	timeout	star and stripes	If you searched for '...', would this article be a good result?
ebc27bdb68894dc5	2017-08-11T01:58:04Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
c626c0f48308d57d	2017-08-11T01:58:06Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
cef973ca1e5c7f82	2017-08-11T02:10:54Z	V for Vendetta (film)	no	who is v for vendetta?	If you searched for '...', would this article be relevant?
696f01fd9acfd6e3	2017-08-11T02:11:53Z	Diss (music)	no	yesterday beetles	If someone searched for '...', would they want to read this article?
872dd5a3d4505fd4	2017-08-11T02:12:10Z	IQ classification	timeout	what is a genius iq?	If you searched for '...', would this article be a good result?
8b41d162e1f9496c	2017-08-11T02:13:01Z	Diss (music)	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
7452bfb6ce0fbda6	2017-08-11T02:13:22Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	Would you click on this page when searching for '...'?
2e07fb53c4a3ad9e	2017-08-11T02:15:30Z	Item 47	timeout	10 items or fewer	If you searched for '...', would this article be relevant?
ceebad98541404c7	2017-08-11T02:16:02Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
10abd2bf6ff48a17	2017-08-11T02:16:40Z	IQ classification	no	what is a genius iq?	Would you click on this page when searching for '...'?
f9f1939852359119	2017-08-11T02:18:55Z	Flowers in the Attic	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
41ea1179d28fdbfe	2017-08-11T02:20:04Z	Fewer vs. less	yes	10 items or fewer	If someone searched for '...', would they want to read this article?
fb1944e6e06a4d50	2017-08-11T02:22:33Z	Flower	yes	how do flowers bloom?	If someone searched for '...', would they want to read this article?
2be3893ca26dc121	2017-08-11T02:22:44Z	V for Vendetta	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
cac543c92773a388	2017-08-11T02:26:09Z	How Do You Sleep? (John Lennon song)	yes	yesterday beetles	If someone searched for '...', would they want to read this article?
24263cd312697ead	2017-08-11T02:27:00Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
639a5a6d97f05458	2017-08-11T02:27:09Z	V (comics)	unsure	who is v for vendetta?	If you searched for '...', would this article be relevant?
5de6f4a356da5158	2017-08-11T02:27:26Z	Web search engine	timeout	search engine	If you searched for '...', would this article be a good result?
21855e59bed2d91b	2017-08-11T02:28:39Z	The White Stripes	timeout	star and stripes	If someone searched for '...', would they want to read this article?
0bec03521587f8a1	2017-08-11T02:29:00Z	Item 47	unsure	10 items or fewer	If someone searched for '...', would they want to read this article?
3007b8c9999514b9	2017-08-11T02:30:44Z	V (comics)	yes	who is v for vendetta?	If someone searched for '...', would they want to read this article?
e352cebe8a194b55	2017-08-11T02:30:48Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
00751ccd01d9baf5	2017-08-11T02:31:33Z	Web search engine	timeout	search engine	Would you click on this page when searching for '...'?
6cad7721cd5e6844	2017-08-11T02:32:08Z	Tinker Tailor Soldier Spy	yes	sailor soldier tinker spy	Would you click on this page when searching for '...'?
f6292e74a0df382a	2017-08-11T02:32:11Z	Item 47	timeout	10 items or fewer	If someone searched for '...', would they want to read this article?
d86f32d5c1e9b37e	2017-08-11T02:34:51Z	V for Vendetta (film)	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
2dc479f0d3ac32ab	2017-08-11T02:35:28Z	Genius (website)	timeout	what is a genius iq?	If you searched for '...', would this article be relevant?
141dec9434768899	2017-08-11T02:36:46Z	How Do You Sleep? (John Lennon song)	no	yesterday beetles	If you searched for '...', would this article be relevant?
7ee4ef3fde2d311e	2017-08-11T02:37:10Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
185c0966ee90d6d2	2017-08-11T02:37:28Z	Barney & Friends	no	why is a baby goat a kid?	Would you click on this page when searching for '...'?
b6abec2cb1cbad77	2017-08-11T02:38:16Z	List of V for Vendetta characters	yes	who is v for vendetta?	If you searched for '...', would this article be relevant?
23d1d939880537aa	2017-08-11T02:38:20Z	Web search engine	timeout	search engine	Would you click on this page when searching for '...'?
57b689d9b650e4a7	2017-08-11T02:41:00Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be a good result?
f19084203df27568	2017-08-11T02:42:32Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
4b504e8a5e99196d	2017-08-11T02:43:06Z	The Stars and Stripes Forever	timeout	star and stripes	Would you click on this page when searching for '...'?
ece482f2b33a0e7d	2017-08-11T02:43:41Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
aa7bf3f0497a61ec	2017-08-11T02:44:26Z	The White Stripes	no	star and stripes	If you searched for '...', would this article be relevant?
635b8290a10ae8bf	2017-08-11T02:44:37Z	List of V for Vendetta characters	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
fb7f293209bf0e59	2017-08-11T02:45:16Z	Private language argument	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
229dc9433acfc3c9	2017-08-11T02:46:14Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
08b77c60462aa1ef	2017-08-11T02:47:06Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
ed34f3bec64a70fb	2017-08-11T02:47:24Z	Stripes (film)	timeout	star and stripes	If someone searched for '...', would they want to read this article?
f4d160c0ba7ea17b	2017-08-11T02:48:21Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	Would you click on this page when searching for '...'?
508bbce6b863a551	2017-08-11T02:48:45Z	V for Vendetta	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
21067a9a609f8f2f	2017-08-11T02:49:31Z	Buster Keaton	no	block buster	If you searched for '...', would this article be a good result?
c24a9dfc9e69c992	2017-08-11T02:50:09Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
0198e42709b890cf	2017-08-11T02:52:33Z	V for Vendetta	unsure	who is v for vendetta?	If you searched for '...', would this article be relevant?
e86802ab154df45b	2017-08-11T02:53:23Z	Private language argument	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
2b666f50e4dd298a	2017-08-11T02:58:55Z	Diss (music)	no	yesterday beetles	If someone searched for '...', would they want to read this article?
a482a011f8371198	2017-08-11T03:03:41Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
8418ffca3d77ed83	2017-08-11T03:04:42Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
0854ddfb43eaf2a3	2017-08-11T03:05:58Z	High IQ society	unsure	what is a genius iq?	If you searched for '...', would this article be a good result?
3d569131d6f7050b	2017-08-11T03:09:53Z	Search engine optimization	timeout	search engine	If you searched for '...', would this article be relevant?
26ef62e34a6aa619	2017-08-11T03:10:13Z	Goat	timeout	why is a baby goat a kid?	Would you click on this page when searching for '...'?
00079a795d0012ca	2017-08-11T03:13:48Z	Flower	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
09ff5007c5463044	2017-08-11T03:13:55Z	Search engine marketing	no	search engine	If you searched for '...', would this article be relevant?
8ee7053a7d82f29e	2017-08-11T03:14:06Z	Stripes (film)	timeout	star and stripes	Would you click on this page when searching for '...'?
2cd8728ca91cbb8a	2017-08-11T03:15:44Z	Stripes (film)	unsure	star and stripes	If someone searched for '...', would they want to read this article?
5fd6cfebf8c523d7	2017-08-11T03:17:36Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be a good result?
3234807837c4c0c2	2017-08-11T03:18:40Z	Super Why!	unsure	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
98c7909d6c3d931e	2017-08-11T03:19:46Z	IQ classification	timeout	what is a genius iq?	If someone searched for '...', would they want to read this article?
cccee8c0346a1ef9	2017-08-11T03:20:39Z	Goat	timeout	why is a baby goat a kid?	Would you click on this page when searching for '...'?
fb0be975ce7f36dc	2017-08-11T03:21:27Z	Stripes (film)	timeout	star and stripes	If you searched for '...', would this article be relevant?
0c95acb71bdde2b2	2017-08-11T03:21:53Z	10-foot user interface	timeout	10 items or fewer	If you searched for '...', would this article be relevant?
deb2f3ce55bf933a	2017-08-11T03:22:02Z	Genius	yes	what is a genius iq?	If you searched for '...', would this article be relevant?
b99cf95c18772daa	2017-08-11T03:23:21Z	Genius (website)	no	what is a genius iq?	If you searched for '...', would this article be relevant?
32967668a52366b3	2017-08-11T03:23:28Z	Tinker Tailor Soldier Spy	yes	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
e1a1b3f6a5b3b28c	2017-08-11T03:25:21Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
76d74d5fa41f8611	2017-08-11T03:26:32Z	V (comics)	yes	who is v for vendetta?	If you searched for '...', would this article be a good result?
d719376858739d67	2017-08-11T03:30:00Z	V (comics)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
9e4d8aba42a1f477	2017-08-11T03:32:02Z	Genius	timeout	what is a genius iq?	If you searched for '...', would this article be relevant?
d719376858739d67	2017-08-11T03:32:19Z	V (comics)	unsure	who is v for vendetta?	If you searched for '...', would this article be a good result?
a9c5a272a95d1505	2017-08-11T03:33:18Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
c3bdd7e9b310adba	2017-08-11T03:33:54Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
d8253e96157ae80d	2017-08-11T03:36:02Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
bc35b69bcf605ce8	2017-08-11T03:36:22Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
330c09ea9fc6ab63	2017-08-11T03:40:08Z	Barney & Friends	yes	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
c444e82ad24f127c	2017-08-11T03:40:19Z	List of fictional double agents	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
acb2aa297d2d1c08	2017-08-11T03:41:01Z	Buster Keaton	timeout	block buster	Would you click on this page when searching for '...'?
e14aef0d9c854a58	2017-08-11T03:42:47Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
a4541e29111f441c	2017-08-11T03:43:29Z	V (comics)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
2ad79c8061f25c75	2017-08-11T03:44:58Z	Item 47	timeout	10 items or fewer	Would you click on this page when searching for '...'?
71679ad564f4f53c	2017-08-11T03:45:02Z	Super Why!	unsure	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
f779e5317707144b	2017-08-11T03:46:14Z	V (comics)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
3a4605af45a7c416	2017-08-11T03:48:44Z	V for Vendetta	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
784cf3e16f6a57a7	2017-08-11T03:50:24Z	Search engine optimization	timeout	search engine	If you searched for '...', would this article be relevant?
5ac107893ed06bbf	2017-08-11T03:50:41Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
1c7c4b3ecf721386	2017-08-11T03:56:48Z	Private language argument	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
ce212a41e705adc0	2017-08-11T03:57:32Z	Super Why!	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
34ba989994242ffd	2017-08-11T03:58:39Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
b9f3ef3118ff9288	2017-08-11T04:00:27Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be relevant?
0c8d922319d82306	2017-08-11T04:01:43Z	V for Vendetta (film)	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
b896464346f1c7fa	2017-08-11T04:05:10Z	V for Vendetta	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
b64ab5335bc0d6aa	2017-08-11T04:05:16Z	How Do You Sleep? (John Lennon song)	no	yesterday beetles	If someone searched for '...', would they want to read this article?
30179a3f3f30e2e0	2017-08-11T04:10:48Z	V (comics)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
45a82cb1f03dd3ab	2017-08-11T04:13:15Z	The Stars and Stripes Forever	timeout	star and stripes	Would you click on this page when searching for '...'?
d80c89c1005d1817	2017-08-11T04:13:42Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be relevant?
0e5a5157a406806e	2017-08-11T04:16:42Z	Diss (music)	no	yesterday beetles	If you searched for '...', would this article be relevant?
0cb14787498baacc	2017-08-11T04:16:46Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
f9d358524a069b7a	2017-08-11T04:17:32Z	Britain in Bloom	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
c92b25f97b5474b2	2017-08-11T04:21:46Z	Genius (website)	no	what is a genius iq?	If someone searched for '...', would they want to read this article?
a43cf344cfd8182f	2017-08-11T04:22:57Z	V for Vendetta (film)	yes	who is v for vendetta?	If you searched for '...', would this article be a good result?
54ada17971d12998	2017-08-11T04:23:40Z	Private language argument	timeout	yesterday beetles	If someone searched for '...', would they want to read this article?
8d08fb425b16488b	2017-08-11T04:24:11Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be relevant?
16813133708b842c	2017-08-11T04:25:15Z	Flowers in the Attic	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
b568e71aa315d9bc	2017-08-11T04:25:33Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
b8a553ee0602c14f	2017-08-11T04:27:25Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
41fbdf28ab539ed6	2017-08-11T04:27:48Z	Diss (music)	no	yesterday beetles	If you searched for '...', would this article be a good result?
e483cb73c0c1c7b9	2017-08-11T04:31:08Z	Genius (website)	no	what is a genius iq?	If you searched for '...', would this article be relevant?
f9ff9330867b3013	2017-08-11T04:33:15Z	V for Vendetta (film)	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
f9d358524a069b7a	2017-08-11T04:35:19Z	Britain in Bloom	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
38fa1be856d33e6d	2017-08-11T04:35:19Z	Flower	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
675e036fa6a54fd2	2017-08-11T04:36:42Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
944af74d72f0d069	2017-08-11T04:36:51Z	Diss (music)	no	yesterday beetles	Would you click on this page when searching for '...'?
8d6a2030d8aeaec8	2017-08-11T04:38:21Z	How Do You Sleep? (John Lennon song)	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
e28c6b9498dad326	2017-08-11T04:39:53Z	IQ classification	timeout	what is a genius iq?	Would you click on this page when searching for '...'?
11642d777555d7b9	2017-08-11T04:41:11Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
0a293e2c0b847282	2017-08-11T04:41:30Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
339e6c72eb7bd699	2017-08-11T04:42:29Z	Tinker, Tailor	timeout	sailor soldier tinker spy	If you searched for '...', would this article be a good result?
30c43ff71e56d1c9	2017-08-11T04:45:42Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
782e299776f4d180	2017-08-11T04:47:38Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be a good result?
d7c192250f5b8258	2017-08-11T04:48:52Z	Stripes (film)	timeout	star and stripes	If someone searched for '...', would they want to read this article?
64cbca2ab9b5bca0	2017-08-11T04:50:02Z	Buster Keaton	timeout	block buster	If you searched for '...', would this article be relevant?
dad10f7fb921a809	2017-08-11T04:51:24Z	Genius (website)	timeout	what is a genius iq?	If you searched for '...', would this article be relevant?
42757812f59aae8c	2017-08-11T04:52:12Z	How Do You Sleep? (John Lennon song)	yes	yesterday beetles	If someone searched for '...', would they want to read this article?
961138a98551c90c	2017-08-11T04:55:06Z	Web search engine	timeout	search engine	If you searched for '...', would this article be relevant?
bc833d9b9bf81f34	2017-08-11T04:55:53Z	Tinker Tailor Soldier Spy	no	sailor soldier tinker spy	Would you click on this page when searching for '...'?
a66c83fa0ef07c35	2017-08-11T04:57:41Z	Super Why!	timeout	why is a baby goat a kid?	If you searched for '...', would this article be a good result?
49912bdd77a938db	2017-08-11T04:59:53Z	How Do You Sleep? (John Lennon song)	no	yesterday beetles	Would you click on this page when searching for '...'?
1af874cd71af8d7a	2017-08-11T04:59:54Z	Web search engine	yes	search engine	If you searched for '...', would this article be relevant?
2599b3599b90ac8a	2017-08-11T05:00:26Z	Super Why!	timeout	why is a baby goat a kid?	If someone searched for '...', would they want to read this article?
6f403faf125e95f3	2017-08-11T05:05:17Z	V for Vendetta	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
3c7d3781a4fbf7c0	2017-08-11T05:06:14Z	Stripes (film)	timeout	star and stripes	Would you click on this page when searching for '...'?
3fec66a2ff58815e	2017-08-11T05:07:21Z	Flower	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
c72b70364c0a64bf	2017-08-11T05:07:46Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If someone searched for '...', would they want to read this article?
975487eb7c379b36	2017-08-11T05:09:30Z	The Sweet (album)	yes	block buster	If someone searched for '...', would they want to read this article?
f599181deb80188b	2017-08-11T05:10:00Z	The White Stripes	no	star and stripes	If you searched for '...', would this article be relevant?
2669a87580bb76a8	2017-08-11T05:10:50Z	V for Vendetta (film)	unsure	who is v for vendetta?	If someone searched for '...', would they want to read this article?
17409832e18b171e	2017-08-11T05:11:19Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be relevant?
bf0d117c4f2487b8	2017-08-11T05:15:09Z	V for Vendetta (film)	timeout	who is v for vendetta?	Would you click on this page when searching for '...'?
6ff5f3344a85c9dd	2017-08-11T05:21:02Z	Search engine marketing	timeout	search engine	If you searched for '...', would this article be relevant?
b34e145e65586dfb	2017-08-11T05:21:21Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be relevant?
566da6f6f5147ee8	2017-08-11T05:24:16Z	Search engine marketing	timeout	search engine	If someone searched for '...', would they want to read this article?
0013ea51b8405fd0	2017-08-11T05:28:57Z	V (comics)	no	who is v for vendetta?	Would you click on this page when searching for '...'?
e1a541da4b976fa6	2017-08-11T05:32:25Z	List of V for Vendetta characters	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
171bc46324271690	2017-08-11T05:32:31Z	The Collected Stories of Philip K. Dick	timeout	yesterday beetles	If you searched for '...', would this article be a good result?
d529ddae8655c610	2017-08-11T05:32:38Z	Tinker Tailor Soldier Spy	timeout	sailor soldier tinker spy	If you searched for '...', would this article be relevant?
70f3472f4b87b040	2017-08-11T05:33:34Z	V (comics)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
aebd414229522df2	2017-08-11T05:34:13Z	Flowers in the Attic (1987 film)	timeout	how do flowers bloom?	Would you click on this page when searching for '...'?
de790d9f95e35c72	2017-08-11T05:34:52Z	Flowers in the Attic	timeout	how do flowers bloom?	If you searched for '...', would this article be a good result?
5dfd170923b50676	2017-08-11T05:39:32Z	Flowers in the Attic	timeout	how do flowers bloom?	If someone searched for '...', would they want to read this article?
0b61f90f28e5ff7a	2017-08-11T05:41:01Z	The Stars and Stripes Forever	timeout	star and stripes	If someone searched for '...', would they want to read this article?
20437214736ba302	2017-08-11T05:41:37Z	V for Vendetta (film)	timeout	who is v for vendetta?	If you searched for '...', would this article be a good result?
ab3edca0134d8bb1	2017-08-11T05:41:52Z	V (comics)	timeout	who is v for vendetta?	If someone searched for '...', would they want to read this article?
7c96827f1bb3945d	2017-08-11T05:42:03Z	Fewer vs. less	yes	10 items or fewer	If you searched for '...', would this article be relevant?
c30918c4384bbd07	2017-08-11T05:45:32Z	The White Stripes	timeout	star and stripes	If you searched for '...', would this article be a good result?
4a23e0f5bad8614e	2017-08-11T05:50:09Z	Flowers in the Attic (1987 film)	no	how do flowers bloom?	Would you click on this page when searching for '...'?
6f294edf7486fd3e	2017-08-11T05:53:45Z	V for Vendetta	no	who is v for vendetta?	Would you click on this page when searching for '...'?
d046b70abd2bc08d	2017-08-11T05:54:06Z	List of search engines	timeout	search engine	Would you click on this page when searching for '...'?
